iter	Logloss
0	0.612949091
1	0.5378003367
2	0.4671399147
3	0.4100339902
4	0.3560902715
5	0.3120689729
6	0.2751949424
7	0.2420666377
8	0.2107931319
9	0.1831415475
10	0.1611487607
11	0.1419015345
12	0.1260665812
13	0.1113569216
14	0.09702064777
15	0.08458885527
16	0.07489144328
17	0.06576439225
18	0.05739349749
19	0.05046433112
20	0.04417372352
21	0.03907049737
22	0.03452917501
23	0.03036287632
24	0.0268981853
25	0.02367374362
26	0.02084126156
27	0.01851511731
28	0.01656630727
29	0.01489060513
30	0.01330184372
31	0.01189006711
32	0.01072213371
33	0.009667072513
34	0.008698622695
35	0.007868179707
36	0.007134089158
37	0.006487119354
38	0.005939882898
39	0.005431727935
40	0.004990855321
41	0.004574606032
42	0.004191128339
43	0.003854958835
44	0.003536793628
45	0.003277289326
46	0.003025065411
47	0.002793312365
48	0.002607305134
49	0.002434073405
50	0.002256712447
51	0.002103508951
52	0.001943282018
53	0.001801502127
